,Name,Album,Artist,SpotifyURL,PreviewURL
51,Two Feet,Two Feet,TOESUP,https://open.spotify.com/track/4l09dn8jv0EM7NzViRWPut,
52,Bad Memories (feat. Elley Duhé & FAST BOY),Bad Memories (feat. Elley Duhé & FAST BOY),MEDUZA,https://open.spotify.com/track/3rb0tMq42WfggucPm0HHkA,
53,KU LO SA (with Camila Cabello),KU LO SA (with Camila Cabello),Oxlade,https://open.spotify.com/track/0HihDC6qQ8MChAhjfW3gMU,
54,Ma Bebe,Ma Bebe,Stefania,https://open.spotify.com/track/6YB4SUZCSTJuAzRY5hwApq,
55,Do It Again,Do It Again,Ray Dalton,https://open.spotify.com/track/1IeQnQxCs2YJN6u3wQbUyX,
56,Two Feet (DJ Dark Remix),Two Feet (DJ Dark Remix),TOESUP,https://open.spotify.com/track/1bjWJ6p09HLT0CTiJE97X4,
57,Rush,Rush (feat. PinkPantheress & Hyunjin of Stray Kids),Troye Sivan,https://open.spotify.com/track/4gqakJ2DQ5NoTqNHxyIBAM,
58,Before You,Pop Mania,Various Artists,https://open.spotify.com/track/3MbH4TbtxRpWwUJ9scSAGr,
59,Single Soon,Single Soon,Selena Gomez,https://open.spotify.com/track/6iF4RgIjDvDqyW13PezSj3,
60,On My Love,On My Love,Zara Larsson,https://open.spotify.com/track/0dxp7DyPJEo6JhtnjUtBnN,
61,Ice Cream,Ice Cream,TOESUP,https://open.spotify.com/track/0yWR1M14e8S4cw4Ej7dS5T,
62,LIFETIMES,LIFETIMES,Katy Perry,https://open.spotify.com/track/0K8sKuo6xLHZgySZmmw2rV,
63,STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),STUPID IN LOVE (feat. HUH YUNJIN of LE SSERAFIM),MAX,https://open.spotify.com/track/60JZB9waHUPWJTGbYO6kDB,
64,Lonely World,Lonely World,K-391,https://open.spotify.com/track/3JO4zEi1PJwANcidci6x6e,
65,IT'S YOU (feat. keshi),IT'S YOU (feat. keshi),MAX,https://open.spotify.com/track/5SMCxRA6hB2jEhroaYfw6N,
66,Angels,Angels,DAWN,https://open.spotify.com/track/7de1242yAgL8WpIVevNrcN,
67,The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,https://open.spotify.com/track/1tuNqJOtRQVHvONR8Lg3MZ,
68,I LUV IT (feat. Playboi Carti),I LUV IT (feat. Playboi Carti),Camila Cabello,https://open.spotify.com/track/2H2ytI7ompfNmRkI2sq8Uk,
69,Sweetest Pie,Sweetest Pie,Megan Thee Stallion,https://open.spotify.com/track/7mFj0LlWtEJaEigguaWqYh,
70,Celestial,Celestial,Ed Sheeran,https://open.spotify.com/track/4zrKN5Sv8JS5mqnbVcsul7,
71,Alibi,Alibi,Glitter Dream,https://open.spotify.com/track/75FQimAdlKrQushkL6aDbw,
72,Welcome To New York (Taylor's Version),1989 (Taylor's Version),Taylor Swift,https://open.spotify.com/track/1hR8BSuEqPCCZfv93zzzz9,
73,Kiss Me,Songs of Sonder,Dermot Kennedy,https://open.spotify.com/track/1Xq9ilOLiknCaGYtSsvFrH,
74,Ayo Girl (Fayahh Beat) [feat. Rema],Ayo Girl (Fayahh Beat) [feat. Rema],Robinson,https://open.spotify.com/track/57Hk0AE5OhgXrPWZOhipHt,
75,Yummy (with Dhurata Dora & Stefflon Don),Yummy (with Dhurata Dora & Stefflon Don),INNA,https://open.spotify.com/track/4UBQzePH33VgggQbnS7K0v,
76,Shades of Blue,Shades of Blue,Féa,https://open.spotify.com/track/4OLMKKgfAeCMcYejzEp1AR,
77,GIRLS,GIRLS,The Kid LAROI,https://open.spotify.com/track/7z3PblAN3dH1JMewiRydkZ,
78,B.O.T.A. (Baddest of Them All),Daily Pop Mix,Various Artists,https://open.spotify.com/track/28vVY9dJdHWrxsTRix1gMF,
79,Super Freaky Girl,Wake up happy 2023 | Good Morning,Various Artists,https://open.spotify.com/track/4XRc44oRSkuJfnYcQUSMst,
80,Forever and Ever and Always,Forever and Ever and Always,Ryan Mack,https://open.spotify.com/track/5keXeMrCGBYXpJYQ0FFqjK,
81,"Ring, Ring - Remix","Ring, Ring (Remix)",MIRA,https://open.spotify.com/track/6Jmv3gl8m6hp2bxgg3ex6i,
82,Desire (with Sam Smith),Desire (with Sam Smith),Calvin Harris,https://open.spotify.com/track/22dUzMFttcR3uU17NcOAIv,
83,Hold Me Closer,The Lockdown Sessions,Elton John,https://open.spotify.com/track/5TJEBoTCDbJXiKMdCN9pd3,
84,Flowers Need Rain,Class Of 2022,Various Artists,https://open.spotify.com/track/5yIOiT0g7BWAa8bIVRpBKj,
85,Satellite,Harry's House,Harry Styles,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq,
86,Undress Your Soul,Undress Your Soul,Glitter Dream,https://open.spotify.com/track/3Y7TkKyrIe8UvRZRzCkc7X,
87,Doctor (Work It Out) [feat. Miley Cyrus],Doctor (Work It Out) [feat. Miley Cyrus],Pharrell Williams,https://open.spotify.com/track/4f9wNNZET9wH7eMBgONd3d,
88,Lovin On Me,Lovin On Me,Jack Harlow,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,
89,Give Me A Kiss,Give Me A Kiss,Crash Adams,https://open.spotify.com/track/0ocf3HwWhrXtA8r63Vcd2h,
